RCGU-91	G	40.6802033,-2.3713676	Peña del Arco
RCGU-91	G	40.6735857,-2.3922423	Barranco los Conejeros
SPG-15	I	40.8418812,-1.9809926	Calle Virgen de la Hoz
SPG-15	G	40.8514943,-1.9985749961399955	Área recreativa "Dehesa de Corduente"
SPG-15	G	40.8299195,-2.0014831191121285	Mirador
SPG-15	G	40.8294157,-2.000208641304349	Santuario de la Virgen de la Hoz
SPG-15	G	40.8339021,-1.9882456	Mojón Blanco
SPG-15	R	40.8424225,-1.9775932	Qrica Taberna
SPG-13	I	40.8837064,-1.6847648	Campillo de Dueñas
SPG-13	R	40.8350795,-1.7062882414440443	Castillo de Zafra
SPG-28	I	40.7724788,-2.3978421	Ocentejo
SPG-28	G	40.7629367,-2.3800882	Hundido de Armallones
SPG-28	I	40.7838466,-2.3620381	Salinas de la Inesperada
